plusCase	-9223372036854775808	-2147483648	55834574739
plusCase	-9223372036854775808	-64	111669145235
plusCase	-81985529216486895	-33554433	31486285911
plusCase	-81985529216486895	8	33767987899
plusCase	-4294967297	-1048575	111597846351
plusCase	-4294967297	2047	138951
plusCase	-4294967296	-16384	111668035475
plusCase	-4294967296	262145	17825751
plusCase	-2147483649	-257	55834557127
plusCase	-2147483649	67108864	60397977355
plusCase	-2147483648	-9223372036854775808	55834574739
plusCase	-2147483648	-7	55834574263
plusCase	-2147483647	-33554432	53552873499
plusCase	-2147483647	17	55834576031
plusCase	-1073741825	-131073	60120628935
plusCase	-1073741825	1024	60129611531
plusCase	-1073741824	-1023	60129472471
plusCase	-1073741824	65535	60133998415
plusCase	-1073741823	-4	60129541899
plusCase	-1073741823	2097153	60272148575
plusCase	-536870913	128	85899354379
plusCase	-536870913	134217728	64961380107
plusCase	-536870912	32767	85901573967
plusCase	-536870912	4294967297	85899345879
plusCase	-536870911	-268435456	67645734939
plusCase	-536870911	4194305	86184558687
plusCase	-268435457	-4194305	74876714695
plusCase	-268435457	1073741824	53687090955
plusCase	-268435456	-536870911	38654705623
plusCase	-268435456	-131071	75153014743
plusCase	-268435455	-2097152	75019321371
plusCase	-268435455	-2048	75161788443
plusCase	-134217729	-8193	93414981319
plusCase	-134217729	-33	93415536199
plusCase	-134217728	-63	93415534295
plusCase	-134217728	3	93415538783
plusCase	-134217727	9	93415539327
plusCase	-134217727	129	93415547487
plusCase	-67108865	2048	102542483211
plusCase	-67108865	8192	102542901003
plusCase	-67108864	524287	102577995599
plusCase	-67108863	16777217	73618423903
plusCase	-67108863	67108865	64156074079
plusCase	-33554433	-81985529216486895	40237878159
plusCase	-33554433	1073741824	38386269963
plusCase	-33554432	-2147483647	51271172055
plusCase	-33554432	-33554431	104824045527
plusCase	-33554431	-33554432	104824045595
plusCase	-33554431	-131072	107096834075
plusCase	-16777217	-524289	109351796423
plusCase	-16777217	-513	109387413191
plusCase	-16777216	-16383	109386334167
plusCase	-16777216	-3	109387448007
plusCase	-16777215	-256	109387430939
plusCase	-16777215	129	109387457119
plusCase	-8388609	-5	110528298423
plusCase	-8388609	32768	110530526987
plusCase	-8388608	31	110528301007
plusCase	-8388608	8388607	68149051215
plusCase	-8388607	1025	110528368735
plusCase	-8388607	1073741825	41808822367
plusCase	-4194305	-268435457	92845113031
plusCase	-4194305	65536	111103180555
plusCase	-4194304	-2097151	110956117975
plusCase	-4194304	4194303	68434263887
plusCase	-4194303	-8192	111098167323
plusCase	-4194303	134217729	8556380255
plusCase	-2097153	-33	111383934535
plusCase	-2097153	81985529216486895	66582655623
plusCase	-2097152	-268435455	93130325975
plusCase	-2097152	15	111383937935
plusCase	-2097151	-4194304	111098724379
plusCase	-2097151	2049	111384076383
plusCase	-1048577	-65537	111522086599
plusCase	-1048577	524288	81497423627
